PID,item,similarity,apriori_faktor,aposteriori_faktor
702,BB1_SH1,0.47255879335291434,BB,SH
703,BB1_SH1,0.5044549575958832,BB,SH
706,BB1_SH1,0.4721461832719726,BB,SH
713,BB1_SH1,0.5513559589360751,BB,SH
717,BB1_SH1,0.5589685978701279,BB,SH
718,BB1_SH1,0.45776513805734814,BB,SH
719,BB1_SH1,0.5513899334766992,BB,SH
720,BB1_SH1,0.48656478033074435,BB,SH
721,BB1_SH1,0.47581540900801145,BB,SH
723,BB1_SH1,0.3501290139894305,BB,SH
725,BB1_SH1,0.19583894583235414,BB,SH
726,BB1_SH1,0.3038288981457104,BB,SH
728,BB1_SH1,0.6125194764289155,BB,SH
729,BB1_SH1,0.5026969655814568,BB,SH
732,BB1_SH1,0.4940119450261321,BB,SH
737,BB1_SH1,0.47669401793139543,BB,SH
739,BB1_SH1,0.49279021170835163,BB,SH
741,BB1_SH1,0.5816585735578564,BB,SH
747,BB1_SH1,0.46350959529464797,BB,SH
748,BB1_SH1,0.27498784130793336,BB,SH
750,BB1_SH1,0.6206801370865335,BB,SH
751,BB1_SH1,0.4177261652657245,BB,SH
753,BB1_SH1,0.38029637632089947,BB,SH
754,BB1_SH1,0.43636275783475315,BB,SH
759,BB1_SH1,0.4094711011230625,BB,SH
760,BB1_SH1,0.412810516045974,BB,SH
762,BB1_SH1,0.3795632749581908,BB,SH
764,BB1_SH1,0.5461743782506908,BB,SH
765,BB1_SH1,0.5733575499307232,BB,SH
771,BB1_SH1,0.620442493299739,BB,SH
775,BB1_SH1,0.45431019225995456,BB,SH
781,BB1_SH1,0.5457361280629501,BB,SH
782,BB1_SH1,0.5760715878853405,BB,SH
784,BB1_SH1,0.4959449811539747,BB,SH
785,BB1_SH1,0.4870834765684719,BB,SH
787,BB1_SH1,0.511511218390391,BB,SH
788,BB1_SH1,0.49989669305370926,BB,SH
790,BB1_SH1,0.5762241621087524,BB,SH
792,BB1_SH1,0.5459904335085147,BB,SH
793,BB1_SH1,0.53701198770939,BB,SH
796,BB1_SH1,0.5866861263283373,BB,SH
799,BB1_SH1,0.5414571512011547,BB,SH
802,BB1_SH1,0.4109404435892205,BB,SH
803,BB1_SH1,0.390647587102642,BB,SH
813,BB1_SH1,0.4445124350885489,BB,SH
817,BB1_SH1,0.46850233033927624,BB,SH
818,BB1_SH1,0.4643901420805266,BB,SH
820,BB1_SH1,0.5637188661168625,BB,SH
821,BB1_SH1,0.5219608980661012,BB,SH
824,BB1_SH1,0.42998499375188187,BB,SH
825,BB1_SH1,0.4818085132034204,BB,SH
827,BB1_SH1,0.55136458306107,BB,SH
830,BB1_SH1,0.4275108846578153,BB,SH
831,BB1_SH1,0.5565530041070232,BB,SH
833,BB1_SH1,0.5763813468455357,BB,SH
834,BB1_SH1,0.5701365991627532,BB,SH
835,BB1_SH1,0.40322038921385833,BB,SH
839,BB1_SH1,0.47410533295157525,BB,SH
840,BB1_SH1,0.23477951491128965,BB,SH
841,BB1_SH1,0.4929795803200232,BB,SH
847,BB1_SH1,0.38173308714870696,BB,SH
849,BB1_SH1,0.4386524889617397,BB,SH
856,BB1_SH1,0.6610057313722635,BB,SH
860,BB1_SH1,0.5635689189742548,BB,SH
861,BB1_SH1,0.49116830976511555,BB,SH
863,BB1_SH1,0.589399010876892,BB,SH
869,BB1_SH1,0.6235156786108222,BB,SH
871,BB1_SH1,0.43300102151527886,BB,SH
872,BB1_SH1,0.5201795941656003,BB,SH
881,BB1_SH1,0.5025707208803393,BB,SH
888,BB1_SH1,0.4802334897597017,BB,SH
889,BB1_SH1,0.49336099132693706,BB,SH
894,BB1_SH1,0.5073984577612107,BB,SH
895,BB1_SH1,0.46824429535033946,BB,SH
896,BB1_SH1,0.41939533883418345,BB,SH
900,BB1_SH1,0.5279371222036241,BB,SH
902,BB1_SH1,0.5135613707622697,BB,SH
916,BB1_SH1,0.6148826377301934,BB,SH
917,BB1_SH1,0.4156418085414656,BB,SH
918,BB1_SH1,0.3870928794037063,BB,SH
920,BB1_SH1,0.5360605509213644,BB,SH
921,BB1_SH1,0.4772684175174982,BB,SH
922,BB1_SH1,0.5745421476996359,BB,SH
924,BB1_SH1,0.4539426616497923,BB,SH
925,BB1_SH1,0.40657274266207466,BB,SH
926,BB1_SH1,0.6051018102324418,BB,SH
929,BB1_SH1,0.4908903052489047,BB,SH
932,BB1_SH1,0.49197001239487786,BB,SH
933,BB1_SH1,0.29650040047849596,BB,SH
934,BB1_SH1,0.4771686669499416,BB,SH
936,BB1_SH1,0.4780460892052867,BB,SH
938,BB1_SH1,0.5885120879291632,BB,SH
939,BB1_SH1,0.6120964960573047,BB,SH
940,BB1_SH1,0.6359644562829292,BB,SH
941,BB1_SH1,0.48751652439810284,BB,SH
943,BB1_SH1,0.5780118464319638,BB,SH
944,BB1_SH1,0.319790041792799,BB,SH
945,BB1_SH1,0.5959674497647954,BB,SH
946,BB1_SH1,0.5654340611969695,BB,SH
947,BB1_SH1,0.5831826760117185,BB,SH
948,BB1_SH1,0.6340416039950759,BB,SH
949,BB1_SH1,0.49334873885130637,BB,SH
954,BB1_SH1,0.431017047425126,BB,SH
1593,BB1_SH1,0.4556170991168555,BB,SH
1594,BB1_SH1,0.5562416198046161,BB,SH
1598,BB1_SH1,0.46841927952537205,BB,SH
1600,BB1_SH1,0.6023216064450656,BB,SH
1602,BB1_SH1,0.42626257594974526,BB,SH
1603,BB1_SH1,0.5730549446696003,BB,SH
1604,BB1_SH1,0.4786293136276089,BB,SH
1606,BB1_SH1,0.6480659361187792,BB,SH
1607,BB1_SH1,0.46455361195348505,BB,SH
1608,BB1_SH1,0.6142477979436849,BB,SH
1611,BB1_SH1,0.5434699328600812,BB,SH
1615,BB1_SH1,0.630760419488287,BB,SH
1616,BB1_SH1,0.485052175007453,BB,SH
1618,BB1_SH1,0.34556713339667317,BB,SH
1621,BB1_SH1,0.5063602383003921,BB,SH
1624,BB1_SH1,0.4999605539527906,BB,SH
1625,BB1_SH1,0.623470425892472,BB,SH
1626,BB1_SH1,0.4829068741417982,BB,SH
1627,BB1_SH1,0.6129335899673847,BB,SH
1632,BB1_SH1,0.5221297159475963,BB,SH
1633,BB1_SH1,0.4812887151614887,BB,SH
1635,BB1_SH1,0.5946207493168774,BB,SH
1639,BB1_SH1,0.3078497805447025,BB,SH
1640,BB1_SH1,0.47524973773911394,BB,SH
1642,BB1_SH1,0.6169137567468711,BB,SH
1643,BB1_SH1,0.6112841618491968,BB,SH
1644,BB1_SH1,0.5924099658412345,BB,SH
1645,BB1_SH1,0.4670629938135879,BB,SH
1649,BB1_SH1,0.5618498403179694,BB,SH
1650,BB1_SH1,0.4725143071719574,BB,SH
1651,BB1_SH1,0.4504543782559286,BB,SH
1652,BB1_SH1,0.3023202390785012,BB,SH
1657,BB1_SH1,0.2929779623998434,BB,SH
1658,BB1_SH1,0.5816852235282228,BB,SH
1659,BB1_SH1,0.4813932175199813,BB,SH
1660,BB1_SH1,0.41508829164418126,BB,SH
1661,BB1_SH1,0.5727171171568105,BB,SH
1663,BB1_SH1,0.576660349906994,BB,SH
1664,BB1_SH1,0.400056483247743,BB,SH
1666,BB1_SH1,0.5816657445822857,BB,SH
1667,BB1_SH1,0.5437571468544192,BB,SH
1670,BB1_SH1,0.51318246988001,BB,SH
1671,BB1_SH1,0.5431835586157746,BB,SH
1672,BB1_SH1,0.40457410865374294,BB,SH
