PID,item,similarity,apriori_faktor,aposteriori_faktor,spezifität
702,BB1_SH1,0.8085207679263072,BB,SH,Fachdidaktik
703,BB1_SH1,0.7868205308254077,BB,SH,Fachdidaktik
706,BB1_SH1,0.8150645963047538,BB,SH,Fachdidaktik
713,BB1_SH1,0.7830752971828203,BB,SH,Fachdidaktik
717,BB1_SH1,0.8047853243947178,BB,SH,Fachdidaktik
718,BB1_SH1,0.7765424949165546,BB,SH,Fachdidaktik
719,BB1_SH1,0.8197829780413104,BB,SH,Fachdidaktik
720,BB1_SH1,0.7624881940738782,BB,SH,Fachdidaktik
721,BB1_SH1,0.7753379812508789,BB,SH,Fachdidaktik
723,BB1_SH1,0.7632337919947849,BB,SH,Fachdidaktik
725,BB1_SH1,0.7475982432490849,BB,SH,Fachdidaktik
726,BB1_SH1,0.7477983818888327,BB,SH,Fachdidaktik
728,BB1_SH1,0.804245105441043,BB,SH,Fachdidaktik
729,BB1_SH1,0.7819471997768739,BB,SH,Fachdidaktik
732,BB1_SH1,0.796580376218072,BB,SH,Fachdidaktik
737,BB1_SH1,0.8286950564092548,BB,SH,Fachdidaktik
739,BB1_SH1,0.7681092788944132,BB,SH,Fachdidaktik
741,BB1_SH1,0.8337863030846071,BB,SH,Fachdidaktik
747,BB1_SH1,0.8141656126363419,BB,SH,Fachdidaktik
748,BB1_SH1,0.7806778693477172,BB,SH,Fachdidaktik
750,BB1_SH1,0.7800567194163941,BB,SH,Fachdidaktik
751,BB1_SH1,0.7933423668769629,BB,SH,Fachdidaktik
753,BB1_SH1,0.7615034609798585,BB,SH,Fachdidaktik
754,BB1_SH1,0.7767071050384227,BB,SH,Fachdidaktik
759,BB1_SH1,0.7822338154401766,BB,SH,Fachdidaktik
760,BB1_SH1,0.7637066207064866,BB,SH,Fachdidaktik
762,BB1_SH1,0.7563831485904489,BB,SH,Fachdidaktik
764,BB1_SH1,0.7712523632659531,BB,SH,Fachdidaktik
765,BB1_SH1,0.8281980939213934,BB,SH,Fachdidaktik
771,BB1_SH1,0.8190936583470317,BB,SH,Fachdidaktik
775,BB1_SH1,0.7932376734471008,BB,SH,Fachdidaktik
781,BB1_SH1,0.7689632969990837,BB,SH,Fachdidaktik
782,BB1_SH1,0.8066107698940473,BB,SH,Fachdidaktik
784,BB1_SH1,0.7830635775112798,BB,SH,Fachdidaktik
785,BB1_SH1,0.827352530362629,BB,SH,Fachdidaktik
787,BB1_SH1,0.811310933796199,BB,SH,Fachdidaktik
788,BB1_SH1,0.8024869485064005,BB,SH,Fachdidaktik
790,BB1_SH1,0.7948565632319601,BB,SH,Fachdidaktik
792,BB1_SH1,0.8023642684272517,BB,SH,Fachdidaktik
793,BB1_SH1,0.763216229237953,BB,SH,Fachdidaktik
796,BB1_SH1,0.8212821527245089,BB,SH,Fachdidaktik
799,BB1_SH1,0.7621255881787097,BB,SH,Fachdidaktik
802,BB1_SH1,0.7614276373963897,BB,SH,Fachdidaktik
803,BB1_SH1,0.7923452315977304,BB,SH,Fachdidaktik
813,BB1_SH1,0.8030351399593886,BB,SH,Fachdidaktik
817,BB1_SH1,0.8211915661891018,BB,SH,Fachdidaktik
818,BB1_SH1,0.7585870182132585,BB,SH,Fachdidaktik
820,BB1_SH1,0.8090911532793442,BB,SH,Fachdidaktik
821,BB1_SH1,0.8167178868629332,BB,SH,Fachdidaktik
824,BB1_SH1,0.7741015473720992,BB,SH,Fachdidaktik
825,BB1_SH1,0.7953760575194264,BB,SH,Fachdidaktik
827,BB1_SH1,0.778610913901721,BB,SH,Fachdidaktik
830,BB1_SH1,0.7937080876555347,BB,SH,Fachdidaktik
831,BB1_SH1,0.8166045497045327,BB,SH,Fachdidaktik
833,BB1_SH1,0.8337939909226807,BB,SH,Fachdidaktik
834,BB1_SH1,0.8237655767968013,BB,SH,Fachdidaktik
835,BB1_SH1,0.7839007161377893,BB,SH,Fachdidaktik
839,BB1_SH1,0.7971221980830994,BB,SH,Fachdidaktik
840,BB1_SH1,0.7658404199951526,BB,SH,Fachdidaktik
841,BB1_SH1,0.7748542711965876,BB,SH,Fachdidaktik
847,BB1_SH1,0.7914175916809334,BB,SH,Fachdidaktik
849,BB1_SH1,0.7839104437011242,BB,SH,Fachdidaktik
856,BB1_SH1,0.8338325200690024,BB,SH,Fachdidaktik
860,BB1_SH1,0.8098134581953144,BB,SH,Fachdidaktik
861,BB1_SH1,0.8135474290851001,BB,SH,Fachdidaktik
863,BB1_SH1,0.8199091207310348,BB,SH,Fachdidaktik
869,BB1_SH1,0.8235576026287987,BB,SH,Fachdidaktik
871,BB1_SH1,0.8022935392235024,BB,SH,Fachdidaktik
872,BB1_SH1,0.818776233586436,BB,SH,Fachdidaktik
881,BB1_SH1,0.8304378050132016,BB,SH,Fachdidaktik
888,BB1_SH1,0.8216883191972048,BB,SH,Fachdidaktik
889,BB1_SH1,0.7930531118514683,BB,SH,Fachdidaktik
894,BB1_SH1,0.8133221075667841,BB,SH,Fachdidaktik
895,BB1_SH1,0.787409640506515,BB,SH,Fachdidaktik
896,BB1_SH1,0.8132917709432965,BB,SH,Fachdidaktik
900,BB1_SH1,0.7927532668147478,BB,SH,Fachdidaktik
902,BB1_SH1,0.8013156923666696,BB,SH,Fachdidaktik
916,BB1_SH1,0.8411360524965704,BB,SH,Fachdidaktik
917,BB1_SH1,0.7814720727972521,BB,SH,Fachdidaktik
918,BB1_SH1,0.7790619187136297,BB,SH,Fachdidaktik
920,BB1_SH1,0.8289958885968157,BB,SH,Fachdidaktik
921,BB1_SH1,0.7925501214923589,BB,SH,Fachdidaktik
922,BB1_SH1,0.8237327735682513,BB,SH,Fachdidaktik
924,BB1_SH1,0.8017671082087531,BB,SH,Fachdidaktik
925,BB1_SH1,0.7612894775512103,BB,SH,Fachdidaktik
926,BB1_SH1,0.7977824386636857,BB,SH,Fachdidaktik
929,BB1_SH1,0.798221040352979,BB,SH,Fachdidaktik
932,BB1_SH1,0.7829340497093585,BB,SH,Fachdidaktik
933,BB1_SH1,0.7774859559007574,BB,SH,Fachdidaktik
934,BB1_SH1,0.8110009239044399,BB,SH,Fachdidaktik
936,BB1_SH1,0.8573977764244127,BB,SH,Fachdidaktik
938,BB1_SH1,0.8265527727742726,BB,SH,Fachdidaktik
939,BB1_SH1,0.7979171762983229,BB,SH,Fachdidaktik
940,BB1_SH1,0.8082745599019447,BB,SH,Fachdidaktik
941,BB1_SH1,0.7977904234666469,BB,SH,Fachdidaktik
943,BB1_SH1,0.8066948730797163,BB,SH,Fachdidaktik
944,BB1_SH1,0.7687483861196208,BB,SH,Fachdidaktik
945,BB1_SH1,0.8389702643389362,BB,SH,Fachdidaktik
946,BB1_SH1,0.8163106587638995,BB,SH,Fachdidaktik
947,BB1_SH1,0.7798226798332512,BB,SH,Fachdidaktik
948,BB1_SH1,0.7974787960003884,BB,SH,Fachdidaktik
949,BB1_SH1,0.7635775343666976,BB,SH,Fachdidaktik
954,BB1_SH1,0.8172318732515506,BB,SH,Fachdidaktik
1593,BB1_SH1,0.7714325113851952,BB,SH,Fachdidaktik
1594,BB1_SH1,0.8032951482646533,BB,SH,Fachdidaktik
1598,BB1_SH1,0.8028047744584081,BB,SH,Fachdidaktik
1600,BB1_SH1,0.8187526966792547,BB,SH,Fachdidaktik
1602,BB1_SH1,0.7972753567857758,BB,SH,Fachdidaktik
1603,BB1_SH1,0.8186337978582011,BB,SH,Fachdidaktik
1604,BB1_SH1,0.8229963915044495,BB,SH,Fachdidaktik
1606,BB1_SH1,0.8164099877084926,BB,SH,Fachdidaktik
1607,BB1_SH1,0.7972470996702721,BB,SH,Fachdidaktik
1608,BB1_SH1,0.8291020913776496,BB,SH,Fachdidaktik
1611,BB1_SH1,0.828859738641291,BB,SH,Fachdidaktik
1615,BB1_SH1,0.8092163946115383,BB,SH,Fachdidaktik
1616,BB1_SH1,0.7850581937309141,BB,SH,Fachdidaktik
1618,BB1_SH1,0.7804166528558565,BB,SH,Fachdidaktik
1621,BB1_SH1,0.7816539730308004,BB,SH,Fachdidaktik
1624,BB1_SH1,0.8380294486503086,BB,SH,Fachdidaktik
1625,BB1_SH1,0.8077316002330456,BB,SH,Fachdidaktik
1626,BB1_SH1,0.767282051252821,BB,SH,Fachdidaktik
1627,BB1_SH1,0.8110552416375229,BB,SH,Fachdidaktik
1632,BB1_SH1,0.7972987228995241,BB,SH,Fachdidaktik
1633,BB1_SH1,0.7561372836704116,BB,SH,Fachdidaktik
1635,BB1_SH1,0.8030334337554675,BB,SH,Fachdidaktik
1639,BB1_SH1,0.7446857520021061,BB,SH,Fachdidaktik
1640,BB1_SH1,0.8124256065528934,BB,SH,Fachdidaktik
1642,BB1_SH1,0.8323594428657257,BB,SH,Fachdidaktik
